os_id,placa,base,regra,est_algoritmo_min,rampa_real_min,pronta_real_min,n_pecas,pecas
33202,UEC7F81,34,C2_SEM_ESTOQUE,55,64,132,14,"Suporte do pedal direito do passageiro x1 | Carenagem frontal x1 | Usb 18W - COMFORT x1 | Mascara do farol x1 | Manete de freio dianteiro x1 | Carenagem dianteira direita COMFORT x1 | Espelho retrovisor LE x1 | Seta LD x1 | Bau 93L x1 | Usb 5W - CPX x1 | Suporte do pedal esquerdo do passageiro x1 | Carenagem dianteira esquerda COMFORT x1 | Espelho retrovisor LD x1 | Manete de freio traseiro x1"
33245,TKD8C11,1,C3_TEMPO_ALTO,128,116,162,11,"Pastilha de freio traseiro x1 | Disco de freio dianteiro x1 | Roda traseira_v1 x1 | Rolamento da tampa do motor l/roda x1 | Amortecedor traseiro x1 | Velocímetro x1 | Disco de freio traseiro x1 | Pastilha de freio dianteiro x1 | Tampa do motor CPX x1 | Válvula pneu x1 | Conjunto do acelerador x1"
33335,TJB9D84,1,C2_SEM_ESTOQUE,16,8,20,2,"Usb 5W - CPX x1 | Usb 18W - COMFORT x1"
33340,TKU0F02,34,C3_TEMPO_ALTO,123,73,116,9,"Pastilha de freio traseiro x1 | Sensor de freio traseiro x1 | Amortecedor traseiro x1 | Conjunto de seta x1 | Buzina x1 | Pastilha de freio dianteiro x1 | Rolamento da roda x2 | Pneu traseiro x1 | Retentor da roda x2"
33665,STS4I96,34,C3_TEMPO_ALTO,270,144,170,16,"Retentor da roda x2 | Tampa do motor CPX x1 | Rolamento superior completo da direção x1 | Rolamento da roda x2 | Pastilha de freio dianteiro x1 | Disco de freio traseiro x1 | Manete de freio dianteiro x1 | Descanso lateral x1 | Rolamento da tampa do motor l/roda x1 | Roda traseira_v1 x1 | Pneu dianteiro x1 | Rolamento inferior da direção x1 | Pista do rolamento inferior  x1 | Manete de freio traseiro x1 | Pastilha de freio traseiro x1 | Garfo dianteiro x1"
33718,UDL5J68,166,C2_SEM_ESTOQUE,13,14,32,2,"Banco do passageiro x1 | Pastilha de freio dianteiro x1"
33977,UDF2C06,34,C2_SEM_ESTOQUE,68,47,107,14,"Suporte do paralama x1 | Borracha de vedação Bolha x4 | Manete de freio traseiro x1 | Pastilha de freio traseiro x1 | Suporte da bolha inferior (Parte superior mesa suspensão diant.) x1 | Pneu traseiro x1 | Refletor do paralama traseiro x1 | Válvula pneu x1 | Parafuso da bolha x4 | Suporte da bolha x1 | Pastilha de freio dianteiro x1 | Paralama traseiro x1 | Bolha/Parabrisa x1 | Usb 18W - COMFORT x1"
33990,SVI4I85,34,C3_TEMPO_ALTO,127,117,156,13,"Paralama dianteiro x1 | Pastilha de freio traseiro x1 | Tampa do motor COMFORT v1 x1 | Amortecedor dianteiro LD x1 | Pneu dianteiro x1 | Rolamento da tampa do motor l/roda x1 | Parafuso guia da pinça traseira x2 | Bolha/Parabrisa x1 | Pastilha de freio dianteiro x1 | Amortecedor dianteiro LE x1 | Parafuso da bolha x4 | Tampa do motor COMFORT v2 x1 | Pneu traseiro x1"
34009,TLA7F24,1,C3_TEMPO_ALTO,172,73,107,9,"Pastilha de freio dianteiro x1 | Rolamento superior completo da direção x1 | Retentor da roda x2 | Rolamento da roda x2 | Garfo dianteiro x1 | Pista do rolamento inferior  x1 | Pastilha de freio traseiro x1 | Rolamento inferior da direção x1 | Suporte do paralama x1"
34011,TJZ1G67,34,C3_TEMPO_ALTO,157,54,84,8,"Pista do rolamento inferior  x1 | Garfo dianteiro x1 | Carenagem dianteira esquerda COMFORT x1 | Buzina x1 | Rolamento inferior da direção x1 | Rolamento superior completo da direção x1 | Retentor da roda x2 | Rolamento da roda x2"
